Order ID,Order Date,Region,City,Customer Segment,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Profit,Ship Mode
ORD-11763,2024-01-01,North,Delhi,Corporate,Furniture,Storage,6,20916.7,0.15,106675.19,1051.18,Standard
ORD-10514,2024-01-01,West,Pune,Consumer,Clothing,Menswear,2,1305.8,0.0,2611.61,598.11,Standard
ORD-11797,2024-01-01,East,Bhubaneswar,Corporate,Electronics,Accessories,6,23211.42,0.0,139268.54,20239.27,Express
ORD-11463,2024-01-01,West,Surat,Consumer,Grocery,Beverages,1,661.14,0.15,561.97,57.54,Standard
ORD-10574,2024-01-02,East,Kolkata,Corporate,Clothing,Footwear,4,3097.36,0.05,11769.95,1891.53,Standard
ORD-11418,2024-01-02,East,Guwahati,Consumer,Electronics,Mobiles,5,7686.59,0.05,36511.32,5210.72,Express
ORD-10571,2024-01-03,North,Chandigarh,Consumer,Electronics,Cameras,4,10719.13,0.0,42876.53,6919.9,Standard
ORD-10071,2024-01-03,South,Kochi,Consumer,Electronics,Cameras,2,28439.12,0.15,48346.51,3100.66,Express
ORD-10145,2024-01-03,West,Mumbai,Consumer,Office Supplies,Art Supplies,3,2776.27,0.1,7495.92,831.38,Express
ORD-10355,2024-01-03,South,Kochi,Consumer,Office Supplies,Storage Bins,5,2789.02,0.05,13247.85,1275.13,Standard
ORD-10579,2024-01-03,West,Mumbai,Consumer,Electronics,Laptops,4,20571.97,0.0,82287.87,10582.46,Standard
ORD-11294,2024-01-04,East,Bhubaneswar,Consumer,Furniture,Chairs,5,10918.78,0.15,46404.81,1936.53,Standard
ORD-10146,2024-01-04,North,Delhi,Corporate,Grocery,Snacks,6,784.91,0.05,4474.0,667.98,Standard
ORD-11444,2024-01-04,East,Kolkata,Consumer,Furniture,Chairs,4,6060.6,0.0,24242.4,2398.1,Standard
ORD-10774,2024-01-04,South,Kochi,Consumer,Furniture,Storage,5,13512.44,0.0,67562.21,7027.83,Standard
ORD-11088,2024-01-04,East,Bhubaneswar,Consumer,Electronics,Laptops,7,8842.27,0.0,61895.88,11626.32,Express
ORD-11783,2024-01-04,South,Hyderabad,Corporate,Grocery,Beverages,6,840.4,0.0,5042.42,907.42,Standard
ORD-10474,2024-01-05,West,Mumbai,Consumer,Furniture,Storage,6,7000.08,0.1,37800.43,1479.2,Express
ORD-10839,2024-01-06,South,Kochi,Small Business,Clothing,Menswear,7,710.2,0.05,4722.86,791.77,Same Day
ORD-11090,2024-01-06,South,Kochi,Consumer,Electronics,Accessories,5,32331.71,0.15,137409.79,10088.16,Standard
ORD-10265,2024-01-07,South,Hyderabad,Corporate,Electronics,Cameras,5,34316.1,0.05,163001.46,17067.72,Same Day
ORD-11121,2024-01-07,South,Chennai,Consumer,Furniture,Tables,3,7781.35,0.15,19842.43,480.19,Same Day
ORD-10623,2024-01-07,West,Mumbai,Corporate,Furniture,Tables,3,14438.72,0.1,38984.55,1971.55,Express
ORD-11508,2024-01-07,North,Delhi,Small Business,Furniture,Chairs,2,5110.94,0.1,9199.69,634.8,Standard
ORD-11590,2024-01-07,East,Patna,Small Business,Furniture,Chairs,3,8113.74,0.05,23124.17,3164.63,Same Day
ORD-10043,2024-01-08,South,Kochi,Consumer,Clothing,Menswear,1,2811.86,0.1,2530.67,309.88,Express
ORD-10234,2024-01-09,East,Kolkata,Small Business,Clothing,Footwear,4,1129.44,0.1,4065.99,608.82,Standard
ORD-10746,2024-01-09,East,Bhubaneswar,Corporate,Grocery,Snacks,6,219.56,0.3,922.17,34.64,Express
ORD-10756,2024-01-09,West,Surat,Small Business,Clothing,Womenswear,1,2754.92,0.1,2479.43,543.01,Express
ORD-10022,2024-01-09,South,Chennai,Consumer,Grocery,Beverages,7,791.05,0.0,5537.37,1103.7,Standard
ORD-10227,2024-01-10,South,Chennai,Consumer,Clothing,Kidswear,2,1778.77,0.3,2490.28,146.35,Express
ORD-11469,2024-01-10,North,Jaipur,Consumer,Electronics,Accessories,3,12033.28,0.1,32489.86,2163.2,Express
ORD-11241,2024-01-10,East,Kolkata,Consumer,Clothing,Womenswear,5,3055.66,0.1,13750.49,3017.93,Standard
ORD-10075,2024-01-11,North,Lucknow,Consumer,Electronics,Mobiles,3,4141.9,0.0,12425.7,2191.59,Express
ORD-11081,2024-01-13,South,Kochi,Corporate,Electronics,Mobiles,7,40258.31,0.0,281808.19,22386.63,Standard
ORD-10016,2024-01-13,East,Patna,Corporate,Electronics,Cameras,3,24005.45,0.05,68415.54,7200.12,Express
ORD-10383,2024-01-13,North,Delhi,Corporate,Office Supplies,Storage Bins,6,2816.44,0.2,13518.92,269.47,Standard
ORD-11059,2024-01-13,West,Surat,Consumer,Electronics,Mobiles,5,5715.28,0.0,28576.4,3818.66,Express
ORD-10538,2024-01-14,South,Bengaluru,Consumer,Electronics,Mobiles,7,21481.45,0.1,135333.14,10508.46,Standard
ORD-11114,2024-01-14,East,Bhubaneswar,Corporate,Furniture,Storage,7,15784.83,0.0,110493.8,6669.36,Standard
ORD-11786,2024-01-14,East,Guwahati,Consumer,Grocery,Snacks,4,1200.14,0.2,3840.45,40.14,Standard
ORD-10794,2024-01-14,North,Jaipur,Consumer,Furniture,Tables,6,5052.46,0.05,28799.04,2951.11,Standard
ORD-11348,2024-01-14,East,Kolkata,Corporate,Grocery,Snacks,6,250.35,0.3,1051.49,-51.8,Standard
ORD-10925,2024-01-14,West,Pune,Consumer,Grocery,Snacks,4,970.33,0.0,3881.33,678.04,Same Day
ORD-10609,2024-01-15,West,Pune,Consumer,Grocery,Beverages,2,1449.34,0.0,2898.68,528.35,Standard
ORD-10898,2024-01-16,West,Mumbai,Consumer,Electronics,Laptops,6,32986.51,0.1,178127.17,8382.12,Express
ORD-10557,2024-01-16,South,Hyderabad,Consumer,Clothing,Footwear,4,1720.63,0.1,6194.28,1084.09,Express
ORD-10369,2024-01-16,North,Jaipur,Consumer,Clothing,Kidswear,2,4271.0,0.0,8541.99,1654.61,Standard
ORD-10607,2024-01-16,North,Delhi,Consumer,Electronics,Mobiles,4,26301.61,0.3,73644.51,-3682.23,Standard
ORD-11073,2024-01-17,North,Chandigarh,Small Business,Grocery,Beverages,3,656.56,0.1,1772.72,226.68,Standard
ORD-11781,2024-01-18,East,Patna,Consumer,Office Supplies,Paper,2,2500.12,0.0,5000.24,615.38,Standard
ORD-10107,2024-01-18,West,Surat,Consumer,Electronics,Laptops,4,10298.02,0.0,41192.06,6862.26,Same Day
ORD-10007,2024-01-19,North,Jaipur,Consumer,Clothing,Kidswear,4,2692.75,0.0,10771.0,2307.8,Standard
ORD-10595,2024-01-19,South,Kochi,Corporate,Grocery,Snacks,3,286.38,0.3,601.4,-15.8,Express
ORD-10921,2024-01-19,South,Hyderabad,Consumer,Furniture,Chairs,7,19778.28,0.0,138447.97,11899.65,Standard
ORD-10371,2024-01-20,South,Hyderabad,Consumer,Grocery,Snacks,5,1178.87,0.05,5599.62,1001.4,Standard
